epoch 0:	style:8.66e-02 	 Rec:8.66e-02 	 Color:2.65e-01 	Time: 0.01
epoch 50:	style:1.86e-02 	 Rec:9.12e-04 	 Color:1.32e-01 	Time: 0.35
epoch 100:	style:1.87e-02 	 Rec:2.27e-04 	 Color:1.46e-01 	Time: 0.34
epoch 150:	style:1.36e-02 	 Rec:1.86e-04 	 Color:9.15e-02 	Time: 0.34
epoch 200:	style:1.52e-02 	 Rec:2.75e-04 	 Color:1.01e-01 	Time: 0.40
epoch 250:	style:1.47e-02 	 Rec:1.38e-04 	 Color:9.84e-02 	Time: 0.41
epoch 300:	style:1.52e-02 	 Rec:2.15e-04 	 Color:1.04e-01 	Time: 0.41
epoch 350:	style:1.27e-02 	 Rec:2.21e-04 	 Color:8.82e-02 	Time: 0.36
epoch 400:	style:1.56e-02 	 Rec:1.65e-04 	 Color:1.03e-01 	Time: 0.35
epoch 450:	style:1.49e-02 	 Rec:2.42e-04 	 Color:9.68e-02 	Time: 0.34
epoch 500:	style:1.28e-02 	 Rec:2.79e-04 	 Color:8.31e-02 	Time: 0.34
epoch 550:	style:1.65e-02 	 Rec:1.44e-04 	 Color:7.36e-02 	Time: 0.35
epoch 600:	style:1.55e-02 	 Rec:1.83e-04 	 Color:7.48e-02 	Time: 0.35
epoch 650:	style:1.48e-02 	 Rec:1.58e-04 	 Color:8.60e-02 	Time: 0.35
epoch 700:	style:1.41e-02 	 Rec:1.31e-04 	 Color:7.03e-02 	Time: 0.34
epoch 750:	style:1.45e-02 	 Rec:1.44e-04 	 Color:8.99e-02 	Time: 0.42
epoch 800:	style:1.42e-02 	 Rec:1.56e-04 	 Color:6.92e-02 	Time: 0.40
epoch 850:	style:1.29e-02 	 Rec:8.87e-05 	 Color:7.52e-02 	Time: 0.43
epoch 900:	style:1.32e-02 	 Rec:1.60e-04 	 Color:9.07e-02 	Time: 0.42
epoch 950:	style:1.38e-02 	 Rec:2.18e-04 	 Color:7.08e-02 	Time: 0.35
epoch 1000:	style:1.38e-02 	 Rec:7.21e-05 	 Color:7.91e-02 	Time: 0.34
epoch 1050:	style:1.49e-02 	 Rec:7.13e-05 	 Color:7.86e-02 	Time: 0.34
epoch 1100:	style:1.51e-02 	 Rec:1.03e-04 	 Color:7.15e-02 	Time: 0.34
epoch 1150:	style:1.41e-02 	 Rec:1.28e-04 	 Color:7.00e-02 	Time: 0.42
epoch 1200:	style:1.27e-02 	 Rec:9.78e-05 	 Color:7.80e-02 	Time: 0.41
epoch 1250:	style:1.48e-02 	 Rec:2.28e-04 	 Color:7.41e-02 	Time: 0.35
epoch 1300:	style:1.48e-02 	 Rec:1.04e-04 	 Color:8.07e-02 	Time: 0.34
epoch 1350:	style:1.33e-02 	 Rec:1.01e-04 	 Color:6.88e-02 	Time: 0.34
epoch 1400:	style:1.66e-02 	 Rec:1.31e-04 	 Color:7.42e-02 	Time: 0.34
epoch 1450:	style:1.49e-02 	 Rec:8.01e-05 	 Color:7.27e-02 	Time: 0.34
epoch 1500:	style:1.42e-02 	 Rec:2.64e-04 	 Color:6.22e-02 	Time: 0.34
epoch 1550:	style:1.53e-02 	 Rec:8.00e-05 	 Color:5.68e-02 	Time: 0.35
epoch 1600:	style:1.47e-02 	 Rec:2.31e-04 	 Color:6.84e-02 	Time: 0.34
epoch 1650:	style:1.38e-02 	 Rec:9.05e-05 	 Color:6.65e-02 	Time: 0.34
epoch 1700:	style:1.37e-02 	 Rec:1.14e-04 	 Color:7.84e-02 	Time: 0.35
epoch 1750:	style:1.43e-02 	 Rec:6.33e-05 	 Color:6.85e-02 	Time: 0.34
epoch 1800:	style:1.29e-02 	 Rec:6.01e-05 	 Color:6.63e-02 	Time: 0.36
epoch 1850:	style:1.39e-02 	 Rec:9.62e-05 	 Color:6.46e-02 	Time: 0.35
epoch 1900:	style:1.33e-02 	 Rec:1.36e-04 	 Color:7.18e-02 	Time: 0.34
epoch 1950:	style:1.32e-02 	 Rec:1.00e-04 	 Color:7.32e-02 	Time: 0.34
epoch 2000:	style:1.43e-02 	 Rec:6.93e-05 	 Color:6.04e-02 	Time: 0.34
epoch 2050:	style:1.41e-02 	 Rec:7.86e-05 	 Color:6.94e-02 	Time: 0.34
epoch 2100:	style:1.46e-02 	 Rec:8.85e-05 	 Color:6.58e-02 	Time: 0.34
epoch 2150:	style:1.36e-02 	 Rec:1.67e-04 	 Color:6.61e-02 	Time: 0.35
epoch 2200:	style:1.28e-02 	 Rec:9.70e-05 	 Color:6.50e-02 	Time: 0.36
epoch 2250:	style:1.40e-02 	 Rec:1.05e-04 	 Color:6.34e-02 	Time: 0.35
epoch 2300:	style:1.34e-02 	 Rec:8.18e-05 	 Color:6.36e-02 	Time: 0.35
epoch 2350:	style:1.49e-02 	 Rec:1.12e-04 	 Color:5.14e-02 	Time: 0.35
epoch 2400:	style:1.25e-02 	 Rec:6.89e-05 	 Color:5.97e-02 	Time: 0.35
epoch 2450:	style:1.24e-02 	 Rec:9.30e-05 	 Color:6.34e-02 	Time: 0.35
epoch 2500:	style:1.60e-02 	 Rec:1.17e-04 	 Color:5.58e-02 	Time: 0.34
epoch 2550:	style:1.35e-02 	 Rec:1.33e-04 	 Color:6.07e-02 	Time: 0.34
epoch 2600:	style:1.33e-02 	 Rec:7.41e-05 	 Color:6.65e-02 	Time: 0.34
epoch 2650:	style:1.27e-02 	 Rec:1.32e-04 	 Color:5.70e-02 	Time: 0.34
epoch 2700:	style:1.32e-02 	 Rec:8.38e-05 	 Color:6.33e-02 	Time: 0.34
epoch 2750:	style:1.15e-02 	 Rec:1.07e-04 	 Color:7.15e-02 	Time: 0.35
epoch 2800:	style:1.44e-02 	 Rec:1.31e-04 	 Color:5.60e-02 	Time: 0.34
epoch 2850:	style:1.42e-02 	 Rec:9.63e-05 	 Color:6.25e-02 	Time: 0.34
epoch 2900:	style:1.27e-02 	 Rec:5.90e-05 	 Color:5.45e-02 	Time: 0.34
epoch 2950:	style:1.22e-02 	 Rec:1.39e-04 	 Color:6.58e-02 	Time: 0.34
epoch 3000:	style:1.35e-02 	 Rec:6.43e-05 	 Color:6.19e-02 	Time: 0.34
epoch 3050:	style:1.21e-02 	 Rec:7.53e-05 	 Color:7.53e-02 	Time: 0.35
epoch 3100:	style:1.39e-02 	 Rec:5.01e-05 	 Color:6.99e-02 	Time: 0.36
epoch 3150:	style:1.37e-02 	 Rec:8.80e-05 	 Color:6.47e-02 	Time: 0.36
epoch 3200:	style:1.36e-02 	 Rec:1.27e-04 	 Color:7.59e-02 	Time: 0.34
epoch 3250:	style:1.54e-02 	 Rec:8.88e-05 	 Color:6.54e-02 	Time: 0.34
epoch 3300:	style:1.15e-02 	 Rec:1.06e-04 	 Color:5.71e-02 	Time: 0.37
epoch 3350:	style:1.34e-02 	 Rec:1.21e-04 	 Color:5.44e-02 	Time: 0.40
epoch 3400:	style:1.20e-02 	 Rec:6.28e-05 	 Color:5.61e-02 	Time: 0.40
epoch 3450:	style:1.35e-02 	 Rec:8.11e-05 	 Color:6.42e-02 	Time: 0.44
epoch 3500:	style:1.23e-02 	 Rec:5.23e-05 	 Color:6.41e-02 	Time: 0.44
epoch 3550:	style:1.58e-02 	 Rec:1.42e-04 	 Color:5.43e-02 	Time: 0.42
epoch 3600:	style:1.30e-02 	 Rec:1.07e-04 	 Color:6.64e-02 	Time: 0.40
epoch 3650:	style:1.02e-02 	 Rec:6.46e-05 	 Color:5.66e-02 	Time: 0.34
epoch 3700:	style:1.61e-02 	 Rec:8.09e-05 	 Color:5.56e-02 	Time: 0.33
epoch 3750:	style:1.17e-02 	 Rec:5.89e-05 	 Color:6.54e-02 	Time: 0.34
epoch 3800:	style:1.22e-02 	 Rec:8.92e-05 	 Color:5.13e-02 	Time: 0.33
epoch 3850:	style:1.37e-02 	 Rec:9.54e-05 	 Color:6.07e-02 	Time: 0.33
epoch 3900:	style:1.47e-02 	 Rec:7.85e-05 	 Color:5.62e-02 	Time: 0.33
epoch 3950:	style:1.03e-02 	 Rec:2.25e-04 	 Color:6.73e-02 	Time: 0.34
epoch 4000:	style:1.30e-02 	 Rec:8.65e-05 	 Color:6.35e-02 	Time: 0.33
epoch 4050:	style:1.20e-02 	 Rec:6.65e-05 	 Color:6.31e-02 	Time: 0.34
epoch 4100:	style:1.02e-02 	 Rec:1.48e-04 	 Color:6.07e-02 	Time: 0.33
epoch 4150:	style:1.24e-02 	 Rec:7.76e-05 	 Color:5.68e-02 	Time: 0.36
epoch 4200:	style:1.30e-02 	 Rec:6.43e-05 	 Color:6.26e-02 	Time: 0.44
epoch 4250:	style:1.25e-02 	 Rec:7.74e-05 	 Color:5.95e-02 	Time: 0.35
epoch 4300:	style:1.35e-02 	 Rec:8.78e-05 	 Color:5.33e-02 	Time: 0.34
epoch 4350:	style:1.12e-02 	 Rec:1.03e-04 	 Color:6.10e-02 	Time: 0.34
epoch 4400:	style:1.28e-02 	 Rec:1.78e-04 	 Color:5.79e-02 	Time: 0.34
epoch 4450:	style:1.40e-02 	 Rec:7.11e-05 	 Color:5.94e-02 	Time: 0.33
epoch 4500:	style:1.37e-02 	 Rec:8.31e-05 	 Color:5.29e-02 	Time: 0.33
epoch 4550:	style:1.20e-02 	 Rec:6.84e-05 	 Color:5.44e-02 	Time: 0.34
epoch 4600:	style:1.23e-02 	 Rec:9.32e-05 	 Color:5.13e-02 	Time: 0.33
epoch 4650:	style:1.25e-02 	 Rec:6.31e-05 	 Color:5.87e-02 	Time: 0.44
epoch 4700:	style:1.27e-02 	 Rec:1.43e-04 	 Color:5.33e-02 	Time: 0.44
epoch 4750:	style:1.28e-02 	 Rec:1.62e-04 	 Color:5.45e-02 	Time: 0.43
epoch 4800:	style:1.50e-02 	 Rec:8.42e-05 	 Color:6.31e-02 	Time: 0.40
epoch 4850:	style:1.25e-02 	 Rec:7.65e-05 	 Color:5.32e-02 	Time: 0.34
epoch 4900:	style:1.34e-02 	 Rec:8.28e-05 	 Color:5.42e-02 	Time: 0.33
epoch 4950:	style:1.22e-02 	 Rec:8.30e-05 	 Color:5.79e-02 	Time: 0.34
epoch 5000:	style:1.34e-02 	 Rec:8.61e-05 	 Color:5.58e-02 	Time: 0.33
epoch 5050:	style:1.07e-02 	 Rec:5.92e-05 	 Color:5.90e-02 	Time: 0.33
epoch 5100:	style:1.16e-02 	 Rec:6.31e-05 	 Color:6.14e-02 	Time: 0.33
epoch 5150:	style:1.10e-02 	 Rec:7.76e-05 	 Color:5.63e-02 	Time: 0.34
epoch 5200:	style:1.27e-02 	 Rec:5.88e-05 	 Color:5.19e-02 	Time: 0.33
epoch 5250:	style:1.23e-02 	 Rec:1.20e-04 	 Color:6.08e-02 	Time: 0.33
