epoch 0:	pdl:1.57e+00 	 Rec:1.57e+00 	 Color:2.49e-01 	Time: 0.02
epoch 50:	pdl:1.37e+00 	 Rec:2.35e-01 	 Color:2.11e-01 	Time: 1.32
epoch 100:	pdl:1.32e+00 	 Rec:1.70e-01 	 Color:2.21e-01 	Time: 1.33
epoch 150:	pdl:1.24e+00 	 Rec:1.67e-01 	 Color:2.07e-01 	Time: 1.33
epoch 200:	pdl:1.20e+00 	 Rec:1.53e-01 	 Color:2.13e-01 	Time: 1.33
epoch 250:	pdl:1.12e+00 	 Rec:1.31e-01 	 Color:2.19e-01 	Time: 1.32
epoch 300:	pdl:1.09e+00 	 Rec:1.50e-01 	 Color:2.03e-01 	Time: 1.33
epoch 350:	pdl:1.03e+00 	 Rec:1.12e-01 	 Color:2.21e-01 	Time: 1.33
epoch 400:	pdl:9.73e-01 	 Rec:9.61e-02 	 Color:2.20e-01 	Time: 1.33
epoch 450:	pdl:9.45e-01 	 Rec:8.69e-02 	 Color:2.21e-01 	Time: 1.34
epoch 500:	pdl:9.46e-01 	 Rec:1.02e-01 	 Color:2.17e-01 	Time: 1.34
epoch 550:	pdl:8.91e-01 	 Rec:8.52e-02 	 Color:2.07e-01 	Time: 1.35
epoch 600:	pdl:9.00e-01 	 Rec:7.60e-02 	 Color:2.18e-01 	Time: 1.35
epoch 650:	pdl:8.74e-01 	 Rec:6.63e-02 	 Color:2.18e-01 	Time: 1.34
epoch 700:	pdl:8.63e-01 	 Rec:7.48e-02 	 Color:2.09e-01 	Time: 1.34
epoch 750:	pdl:8.23e-01 	 Rec:6.84e-02 	 Color:1.96e-01 	Time: 1.32
epoch 800:	pdl:8.54e-01 	 Rec:7.30e-02 	 Color:2.17e-01 	Time: 1.34
epoch 850:	pdl:8.45e-01 	 Rec:5.91e-02 	 Color:2.27e-01 	Time: 1.33
epoch 900:	pdl:8.39e-01 	 Rec:5.03e-02 	 Color:2.04e-01 	Time: 1.33
epoch 950:	pdl:8.45e-01 	 Rec:4.47e-02 	 Color:2.16e-01 	Time: 1.33
epoch 1000:	pdl:8.78e-01 	 Rec:5.36e-02 	 Color:2.13e-01 	Time: 1.35
epoch 1050:	pdl:8.32e-01 	 Rec:5.24e-02 	 Color:2.24e-01 	Time: 1.32
epoch 1100:	pdl:8.47e-01 	 Rec:4.27e-02 	 Color:2.16e-01 	Time: 1.34
epoch 1150:	pdl:8.49e-01 	 Rec:4.25e-02 	 Color:2.10e-01 	Time: 1.33
epoch 1200:	pdl:8.64e-01 	 Rec:5.44e-02 	 Color:2.23e-01 	Time: 1.34
epoch 1250:	pdl:8.67e-01 	 Rec:4.00e-02 	 Color:1.94e-01 	Time: 1.36
epoch 1300:	pdl:8.80e-01 	 Rec:3.22e-02 	 Color:2.17e-01 	Time: 1.34
epoch 1350:	pdl:8.37e-01 	 Rec:3.33e-02 	 Color:2.24e-01 	Time: 1.34
epoch 1400:	pdl:8.38e-01 	 Rec:3.66e-02 	 Color:2.11e-01 	Time: 1.33
epoch 1450:	pdl:8.08e-01 	 Rec:3.56e-02 	 Color:2.07e-01 	Time: 1.33
epoch 1500:	pdl:8.85e-01 	 Rec:3.33e-02 	 Color:2.21e-01 	Time: 1.34
epoch 1550:	pdl:8.66e-01 	 Rec:3.88e-02 	 Color:2.22e-01 	Time: 1.35
epoch 1600:	pdl:8.19e-01 	 Rec:3.39e-02 	 Color:2.10e-01 	Time: 1.32
epoch 1650:	pdl:8.22e-01 	 Rec:2.75e-02 	 Color:2.14e-01 	Time: 1.33
epoch 1700:	pdl:8.08e-01 	 Rec:2.83e-02 	 Color:2.03e-01 	Time: 1.34
epoch 1750:	pdl:8.48e-01 	 Rec:2.77e-02 	 Color:2.15e-01 	Time: 1.33
epoch 1800:	pdl:7.96e-01 	 Rec:2.76e-02 	 Color:2.09e-01 	Time: 1.33
epoch 1850:	pdl:8.68e-01 	 Rec:2.34e-02 	 Color:2.29e-01 	Time: 1.34
epoch 1900:	pdl:8.22e-01 	 Rec:2.77e-02 	 Color:2.10e-01 	Time: 1.34
epoch 1950:	pdl:8.61e-01 	 Rec:2.69e-02 	 Color:2.25e-01 	Time: 1.35
epoch 2000:	pdl:8.26e-01 	 Rec:2.76e-02 	 Color:2.21e-01 	Time: 1.37
epoch 2050:	pdl:8.35e-01 	 Rec:2.26e-02 	 Color:2.16e-01 	Time: 1.36
epoch 2100:	pdl:8.23e-01 	 Rec:2.43e-02 	 Color:2.10e-01 	Time: 1.33
epoch 2150:	pdl:8.06e-01 	 Rec:2.06e-02 	 Color:1.97e-01 	Time: 1.32
epoch 2200:	pdl:8.78e-01 	 Rec:1.98e-02 	 Color:2.21e-01 	Time: 1.33
epoch 2250:	pdl:8.11e-01 	 Rec:1.99e-02 	 Color:2.13e-01 	Time: 1.32
epoch 2300:	pdl:7.95e-01 	 Rec:2.23e-02 	 Color:1.99e-01 	Time: 1.34
epoch 2350:	pdl:8.13e-01 	 Rec:2.19e-02 	 Color:2.09e-01 	Time: 1.33
epoch 2400:	pdl:8.38e-01 	 Rec:2.92e-02 	 Color:2.02e-01 	Time: 1.34
epoch 2450:	pdl:7.97e-01 	 Rec:2.09e-02 	 Color:2.11e-01 	Time: 1.34
epoch 2500:	pdl:8.42e-01 	 Rec:2.07e-02 	 Color:2.24e-01 	Time: 1.34
epoch 2550:	pdl:8.60e-01 	 Rec:2.36e-02 	 Color:2.02e-01 	Time: 1.34
epoch 2600:	pdl:8.16e-01 	 Rec:1.83e-02 	 Color:2.07e-01 	Time: 1.33
epoch 2650:	pdl:8.31e-01 	 Rec:3.19e-02 	 Color:2.22e-01 	Time: 1.35
epoch 2700:	pdl:8.17e-01 	 Rec:1.64e-02 	 Color:2.13e-01 	Time: 1.34
epoch 2750:	pdl:8.54e-01 	 Rec:1.63e-02 	 Color:2.09e-01 	Time: 1.33
epoch 2800:	pdl:8.57e-01 	 Rec:1.77e-02 	 Color:2.21e-01 	Time: 1.33
epoch 2850:	pdl:8.50e-01 	 Rec:3.27e-02 	 Color:2.12e-01 	Time: 1.34
epoch 2900:	pdl:7.88e-01 	 Rec:1.66e-02 	 Color:2.09e-01 	Time: 1.36
epoch 2950:	pdl:8.22e-01 	 Rec:2.04e-02 	 Color:2.13e-01 	Time: 1.32
epoch 3000:	pdl:8.40e-01 	 Rec:1.55e-02 	 Color:2.26e-01 	Time: 1.33
epoch 3050:	pdl:7.61e-01 	 Rec:1.45e-02 	 Color:2.05e-01 	Time: 1.34
epoch 3100:	pdl:7.94e-01 	 Rec:1.46e-02 	 Color:2.05e-01 	Time: 1.34
epoch 3150:	pdl:8.45e-01 	 Rec:1.52e-02 	 Color:2.21e-01 	Time: 1.35
