epoch 0:	pdl:1.93e+00 	 Rec:1.93e+00 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:9.68e-01 	 Rec:1.52e-01 	 Color:0.00e+00 	Time: 1.60
epoch 100:	pdl:9.28e-01 	 Rec:1.12e-01 	 Color:0.00e+00 	Time: 1.57
epoch 150:	pdl:8.90e-01 	 Rec:7.30e-02 	 Color:0.00e+00 	Time: 1.60
epoch 200:	pdl:8.38e-01 	 Rec:4.40e-02 	 Color:0.00e+00 	Time: 1.57
epoch 250:	pdl:8.27e-01 	 Rec:4.05e-02 	 Color:0.00e+00 	Time: 1.60
epoch 300:	pdl:8.22e-01 	 Rec:3.15e-02 	 Color:0.00e+00 	Time: 1.59
epoch 350:	pdl:8.12e-01 	 Rec:3.46e-02 	 Color:0.00e+00 	Time: 1.66
epoch 400:	pdl:8.00e-01 	 Rec:2.66e-02 	 Color:0.00e+00 	Time: 1.58
epoch 450:	pdl:7.91e-01 	 Rec:2.65e-02 	 Color:0.00e+00 	Time: 1.59
epoch 500:	pdl:8.02e-01 	 Rec:2.72e-02 	 Color:0.00e+00 	Time: 1.60
epoch 550:	pdl:7.92e-01 	 Rec:2.52e-02 	 Color:0.00e+00 	Time: 1.58
epoch 600:	pdl:7.64e-01 	 Rec:2.37e-02 	 Color:0.00e+00 	Time: 1.60
epoch 650:	pdl:8.36e-01 	 Rec:3.93e-02 	 Color:0.00e+00 	Time: 1.64
epoch 700:	pdl:7.65e-01 	 Rec:2.24e-02 	 Color:0.00e+00 	Time: 1.65
epoch 750:	pdl:7.64e-01 	 Rec:2.34e-02 	 Color:0.00e+00 	Time: 1.62
epoch 800:	pdl:7.34e-01 	 Rec:2.60e-02 	 Color:0.00e+00 	Time: 1.64
epoch 850:	pdl:1.15e+00 	 Rec:4.19e-01 	 Color:0.00e+00 	Time: 1.64
epoch 900:	pdl:9.37e-01 	 Rec:1.01e-01 	 Color:0.00e+00 	Time: 1.63
epoch 950:	pdl:9.05e-01 	 Rec:4.88e-02 	 Color:0.00e+00 	Time: 1.70
epoch 1000:	pdl:8.50e-01 	 Rec:4.67e-02 	 Color:0.00e+00 	Time: 1.59
epoch 1050:	pdl:8.67e-01 	 Rec:3.69e-02 	 Color:0.00e+00 	Time: 1.58
epoch 1100:	pdl:8.36e-01 	 Rec:2.90e-02 	 Color:0.00e+00 	Time: 1.61
epoch 1150:	pdl:8.26e-01 	 Rec:3.28e-02 	 Color:0.00e+00 	Time: 1.63
epoch 1200:	pdl:8.08e-01 	 Rec:2.68e-02 	 Color:0.00e+00 	Time: 1.60
epoch 1250:	pdl:8.25e-01 	 Rec:2.84e-02 	 Color:0.00e+00 	Time: 1.63
epoch 1300:	pdl:8.09e-01 	 Rec:2.79e-02 	 Color:0.00e+00 	Time: 1.60
epoch 1350:	pdl:8.02e-01 	 Rec:3.23e-02 	 Color:0.00e+00 	Time: 1.63
epoch 1400:	pdl:7.81e-01 	 Rec:2.37e-02 	 Color:0.00e+00 	Time: 1.61
epoch 1450:	pdl:7.77e-01 	 Rec:2.37e-02 	 Color:0.00e+00 	Time: 1.62
epoch 1500:	pdl:7.86e-01 	 Rec:2.68e-02 	 Color:0.00e+00 	Time: 1.62
epoch 1550:	pdl:7.52e-01 	 Rec:2.30e-02 	 Color:0.00e+00 	Time: 1.64
